Iter| Action |	Reward	|	Done	|	Acc_rw
96	|	13	 |	-40.0000	|	false	|	 -3910.0000
97	|	13	 |	-40.0000	|	false	|	 -3950.0000
98	|	13	 |	-40.0000	|	false	|	 -3990.0000
99	|	13	 |	-40.0000	|	false	|	 -4030.0000
100	|	7	 |	-50.0000	|	false	|	 -4080.0000
101	|	13	 |	-40.0000	|	false	|	 -4120.0000
102	|	13	 |	-40.0000	|	false	|	 -4160.0000
103	|	13	 |	-40.0000	|	false	|	 -4200.0000
104	|	13	 |	-40.0000	|	false	|	 -4240.0000
105	|	13	 |	-40.0000	|	false	|	 -4280.0000
106	|	7	 |	-50.0000	|	false	|	 -4330.0000
107	|	13	 |	-40.0000	|	false	|	 -4370.0000
108	|	13	 |	-40.0000	|	false	|	 -4410.0000
109	|	7	 |	-50.0000	|	false	|	 -4460.0000
110	|	7	 |	-50.0000	|	false	|	 -4510.0000
111	|	7	 |	-50.0000	|	false	|	 -4560.0000
112	|	7	 |	-50.0000	|	false	|	 -4610.0000
113	|	7	 |	-50.0000	|	false	|	 -4660.0000
114	|	7	 |	-50.0000	|	false	|	 -4710.0000
115	|	7	 |	-50.0000	|	false	|	 -4760.0000
116	|	7	 |	-50.0000	|	false	|	 -4810.0000
117	|	7	 |	-50.0000	|	false	|	 -4860.0000
118	|	7	 |	-50.0000	|	false	|	 -4910.0000
119	|	13	 |	-40.0000	|	false	|	 -4950.0000
120	|	13	 |	-40.0000	|	false	|	 -4990.0000
121	|	13	 |	-40.0000	|	false	|	 -5030.0000
122	|	13	 |	-40.0000	|	false	|	 -5070.0000
123	|	13	 |	-40.0000	|	false	|	 -5110.0000
124	|	13	 |	-40.0000	|	false	|	 -5150.0000
125	|	13	 |	-40.0000	|	false	|	 -5190.0000
126	|	13	 |	-40.0000	|	false	|	 -5230.0000
127	|	0	 |	-21.0000	|	false	|	 -5251.0000
128	|	13	 |	-50.0000	|	false	|	 -5301.0000
129	|	13	 |	-50.0000	|	false	|	 -5351.0000
130	|	13	 |	-50.0000	|	false	|	 -5401.0000
131	|	13	 |	-50.0000	|	false	|	 -5451.0000
132	|	13	 |	-50.0000	|	false	|	 -5501.0000
133	|	13	 |	-50.0000	|	false	|	 -5551.0000
134	|	13	 |	-50.0000	|	false	|	 -5601.0000
135	|	0	 |	-50.0000	|	false	|	 -5651.0000
136	|	0	 |	-50.0000	|	false	|	 -5701.0000
137	|	0	 |	-50.0000	|	false	|	 -5751.0000
138	|	0	 |	-50.0000	|	false	|	 -5801.0000
139	|	0	 |	-50.0000	|	false	|	 -5851.0000
140	|	0	 |	-50.0000	|	false	|	 -5901.0000
141	|	0	 |	-50.0000	|	false	|	 -5951.0000
142	|	0	 |	-50.0000	|	false	|	 -6001.0000
143	|	0	 |	-50.0000	|	false	|	 -6051.0000
144	|	0	 |	-50.0000	|	false	|	 -6101.0000
145	|	0	 |	-50.0000	|	false	|	 -6151.0000
146	|	0	 |	-50.0000	|	false	|	 -6201.0000
147	|	0	 |	-50.0000	|	false	|	 -6251.0000
148	|	0	 |	-50.0000	|	false	|	 -6301.0000
149	|	0	 |	-50.0000	|	false	|	 -6351.0000
150	|	0	 |	-50.0000	|	false	|	 -6401.0000
151	|	0	 |	-50.0000	|	false	|	 -6451.0000
152	|	0	 |	-50.0000	|	false	|	 -6501.0000
153	|	0	 |	-50.0000	|	false	|	 -6551.0000
154	|	0	 |	-50.0000	|	false	|	 -6601.0000
155	|	0	 |	-50.0000	|	false	|	 -6651.0000
156	|	0	 |	-50.0000	|	false	|	 -6701.0000
157	|	0	 |	-50.0000	|	false	|	 -6751.0000
158	|	0	 |	-50.0000	|	false	|	 -6801.0000
159	|	0	 |	-50.0000	|	false	|	 -6851.0000
160	|	0	 |	-50.0000	|	false	|	 -6901.0000
161	|	0	 |	-50.0000	|	false	|	 -6951.0000
162	|	0	 |	-50.0000	|	false	|	 -7001.0000
163	|	0	 |	-50.0000	|	false	|	 -7051.0000
164	|	0	 |	-50.0000	|	false	|	 -7101.0000
165	|	0	 |	-50.0000	|	false	|	 -7151.0000
166	|	0	 |	-50.0000	|	false	|	 -7201.0000
167	|	0	 |	-50.0000	|	false	|	 -7251.0000
168	|	0	 |	-50.0000	|	false	|	 -7301.0000
169	|	0	 |	-50.0000	|	false	|	 -7351.0000
170	|	0	 |	-50.0000	|	false	|	 -7401.0000
171	|	0	 |	-50.0000	|	false	|	 -7451.0000
172	|	0	 |	-50.0000	|	false	|	 -7501.0000
173	|	0	 |	-50.0000	|	false	|	 -7551.0000
174	|	0	 |	-50.0000	|	false	|	 -7601.0000
175	|	0	 |	-50.0000	|	false	|	 -7651.0000
176	|	0	 |	-50.0000	|	false	|	 -7701.0000
177	|	0	 |	-50.0000	|	false	|	 -7751.0000
178	|	0	 |	-50.0000	|	false	|	 -7801.0000
179	|	0	 |	-50.0000	|	false	|	 -7851.0000
180	|	0	 |	-50.0000	|	false	|	 -7901.0000
181	|	0	 |	-50.0000	|	false	|	 -7951.0000
182	|	0	 |	-50.0000	|	false	|	 -8001.0000
183	|	0	 |	-50.0000	|	false	|	 -8051.0000
184	|	0	 |	-50.0000	|	false	|	 -8101.0000
185	|	0	 |	-50.0000	|	false	|	 -8151.0000
186	|	0	 |	-50.0000	|	false	|	 -8201.0000
187	|	0	 |	-50.0000	|	false	|	 -8251.0000
188	|	0	 |	-50.0000	|	false	|	 -8301.0000
189	|	0	 |	-50.0000	|	false	|	 -8351.0000
190	|	0	 |	-50.0000	|	false	|	 -8401.0000
191	|	0	 |	-50.0000	|	false	|	 -8451.0000
192	|	0	 |	-50.0000	|	false	|	 -8501.0000
193	|	0	 |	-50.0000	|	false	|	 -8551.0000
194	|	0	 |	-50.0000	|	false	|	 -8601.0000
195	|	0	 |	-50.0000	|	false	|	 -8651.0000
196	|	0	 |	-50.0000	|	false	|	 -8701.0000
197	|	0	 |	-50.0000	|	false	|	 -8751.0000
198	|	0	 |	-50.0000	|	false	|	 -8801.0000
199	|	0	 |	-50.0000	|	false	|	 -8851.0000
200	|	0	 |	-50.0000	|	false	|	 -8901.0000
201	|	0	 |	-50.0000	|	false	|	 -8951.0000
202	|	0	 |	-50.0000	|	false	|	 -9001.0000
203	|	0	 |	-50.0000	|	false	|	 -9051.0000
204	|	0	 |	-50.0000	|	false	|	 -9101.0000
205	|	0	 |	-50.0000	|	false	|	 -9151.0000
206	|	0	 |	-50.0000	|	false	|	 -9201.0000
207	|	0	 |	-50.0000	|	false	|	 -9251.0000
208	|	0	 |	-50.0000	|	false	|	 -9301.0000
209	|	0	 |	-50.0000	|	false	|	 -9351.0000
210	|	0	 |	-50.0000	|	false	|	 -9401.0000
211	|	0	 |	-50.0000	|	false	|	 -9451.0000
212	|	0	 |	-50.0000	|	false	|	 -9501.0000
213	|	0	 |	-50.0000	|	false	|	 -9551.0000
214	|	0	 |	-50.0000	|	false	|	 -9601.0000
215	|	0	 |	-50.0000	|	false	|	 -9651.0000
216	|	0	 |	-50.0000	|	false	|	 -9701.0000
217	|	0	 |	-50.0000	|	false	|	 -9751.0000
218	|	0	 |	-50.0000	|	false	|	 -9801.0000
219	|	0	 |	-50.0000	|	false	|	 -9851.0000
220	|	0	 |	-50.0000	|	false	|	 -9901.0000
221	|	0	 |	-50.0000	|	false	|	 -9951.0000
222	|	0	 |	-50.0000	|	false	|	 -10001.0000
223	|	0	 |	-50.0000	|	false	|	 -10051.0000
224	|	0	 |	-50.0000	|	false	|	 -10101.0000
225	|	0	 |	-50.0000	|	false	|	 -10151.0000
226	|	0	 |	-50.0000	|	false	|	 -10201.0000
227	|	0	 |	-50.0000	|	false	|	 -10251.0000
228	|	0	 |	-50.0000	|	false	|	 -10301.0000
229	|	0	 |	-50.0000	|	false	|	 -10351.0000
230	|	0	 |	-50.0000	|	false	|	 -10401.0000
231	|	0	 |	-50.0000	|	false	|	 -10451.0000
232	|	0	 |	-50.0000	|	false	|	 -10501.0000
233	|	0	 |	-50.0000	|	false	|	 -10551.0000
234	|	0	 |	-50.0000	|	false	|	 -10601.0000
235	|	0	 |	-50.0000	|	false	|	 -10651.0000
236	|	0	 |	-50.0000	|	false	|	 -10701.0000
237	|	0	 |	-50.0000	|	false	|	 -10751.0000
238	|	0	 |	-50.0000	|	false	|	 -10801.0000
239	|	0	 |	-50.0000	|	false	|	 -10851.0000
240	|	0	 |	-50.0000	|	false	|	 -10901.0000
241	|	0	 |	-50.0000	|	false	|	 -10951.0000
242	|	0	 |	-50.0000	|	false	|	 -11001.0000
243	|	0	 |	-50.0000	|	false	|	 -11051.0000
244	|	0	 |	-50.0000	|	false	|	 -11101.0000
245	|	0	 |	-50.0000	|	false	|	 -11151.0000
246	|	0	 |	-50.0000	|	false	|	 -11201.0000
247	|	0	 |	-50.0000	|	false	|	 -11251.0000
248	|	0	 |	-50.0000	|	false	|	 -11301.0000
249	|	0	 |	-50.0000	|	false	|	 -11351.0000
