|_Iteration_|_Action_|___Reward___|_Done__|Acc. Reward_|
|     0     |   10   | -1000.000  | false | -1000.000  |
|     1     |   10   | -1000.000  | false | -2000.000  |
|     2     |   15   | -1000.000  | false | -3000.000  |
|     3     |   15   | -1000.000  | false | -4000.000  |
|     4     |   15   | -1000.000  | false | -5000.000  |
|     5     |   15   | -1000.000  | false | -6000.000  |
|     6     |   15   | -1000.000  | false | -7000.000  |
|     7     |   15   | -1000.000  | false | -8000.000  |
|     8     |   15   | -1000.000  | false | -9000.000  |
|     9     |   15   | -1000.000  | false | -10000.000 |
|    10     |   15   | -1000.000  | false | -11000.000 |
|    11     |   15   | -1000.000  | false | -12000.000 |
|    12     |   15   | -1000.000  | false | -13000.000 |
|    13     |   15   | -1000.000  | false | -14000.000 |
|    14     |   15   | -1000.000  | false | -15000.000 |
|    15     |   15   | -1000.000  | false | -16000.000 |
|    16     |   15   | -1000.000  | false | -17000.000 |
|    17     |   15   | -1000.000  | false | -18000.000 |
|    18     |   15   | -1000.000  | false | -19000.000 |
|    19     |   15   | -1000.000  | false | -20000.000 |
|    20     |   15   | -1000.000  | false | -21000.000 |
|    21     |   15   | -1000.000  | false | -22000.000 |
|    22     |   15   | -1000.000  | false | -23000.000 |
|    23     |   15   | -1000.000  | false | -24000.000 |
|    24     |   15   | -1000.000  | false | -25000.000 |
|    25     |   15   | -1000.000  | false | -26000.000 |
|    26     |   15   | -1000.000  | false | -27000.000 |
|    27     |   15   | -1000.000  | false | -28000.000 |
|    28     |   15   | -1000.000  | false | -29000.000 |
|    29     |   15   | -1000.000  | false | -30000.000 |
|    30     |   15   | -1000.000  | false | -31000.000 |
|    31     |   15   | -1000.000  | false | -32000.000 |
|    32     |   15   | -1000.000  | false | -33000.000 |
|    33     |   15   | -1000.000  | false | -34000.000 |
|    34     |   15   | -1000.000  | false | -35000.000 |
|    35     |   15   | -1000.000  | false | -36000.000 |
|    36     |   15   | -1000.000  | false | -37000.000 |
|    37     |   15   | -1000.000  | false | -38000.000 |
|    38     |   4    |   -2.936   | false | -38002.936 |
|    39     |   4    | -1000.000  | false | -39002.936 |
|    40     |   4    | -1000.000  | false | -40002.936 |
|    41     |   4    | -1000.000  | false | -41002.936 |
|    42     |   4    | -1000.000  | false | -42002.936 |
|    43     |   4    | -1000.000  | false | -43002.936 |
|    44     |   4    | -1000.000  | false | -44002.936 |
|    45     |   4    | -1000.000  | false | -45002.936 |
|    46     |   10   |   -2.936   | false | -45005.872 |
|    47     |   4    | -1000.000  | false | -46005.872 |
|    48     |   15   | -1000.000  | false | -47005.872 |
|    49     |   15   | -1000.000  | false | -48005.872 |
|    50     |   15   | -1000.000  | false | -49005.872 |
|    51     |   10   | -1000.000  | false | -50005.872 |
|    52     |   4    | -1000.000  | false | -51005.872 |
|    53     |   10   | -1000.000  | false | -52005.872 |
|    54     |   10   | -1000.000  | false | -53005.872 |
|    55     |   10   | -1000.000  | false | -54005.872 |
|    56     |   10   | -1000.000  | false | -55005.872 |
|    57     |   10   | -1000.000  | false | -56005.872 |
|    58     |   10   | -1000.000  | false | -57005.872 |
|    59     |   10   | -1000.000  | false | -58005.872 |
|    60     |   10   | -1000.000  | false | -59005.872 |
|    61     |   10   | -1000.000  | false | -60005.872 |
|    62     |   10   | -1000.000  | false | -61005.872 |
|    63     |   15   | -1000.000  | false | -62005.872 |
|    64     |   15   | -1000.000  | false | -63005.872 |
|    65     |   15   | -1000.000  | false | -64005.872 |
|    66     |   15   | -1000.000  | false | -65005.872 |
|    67     |   15   | -1000.000  | false | -66005.872 |
|    68     |   15   | -1000.000  | false | -67005.872 |
|    69     |   15   | -1000.000  | false | -68005.872 |
|    70     |   15   | -1000.000  | false | -69005.872 |
|    71     |   10   | -1000.000  | false | -70005.872 |
|    72     |   10   | -1000.000  | false | -71005.872 |
|    73     |   10   | -1000.000  | false | -72005.872 |
|    74     |   10   | -1000.000  | false | -73005.872 |
|    75     |   10   | -1000.000  | false | -74005.872 |
|    76     |   10   | -1000.000  | false | -75005.872 |
|    77     |   15   | -1000.000  | false | -76005.872 |
|    78     |   15   | -1000.000  | false | -77005.872 |
|    79     |   15   | -1000.000  | false | -78005.872 |
|    80     |   15   | -1000.000  | false | -79005.872 |
|    81     |   10   | -1000.000  | false | -80005.872 |
|    82     |   10   | -1000.000  | false | -81005.872 |
|    83     |   10   | -1000.000  | false | -82005.872 |
|    84     |   10   | -1000.000  | false | -83005.872 |
|    85     |   10   | -1000.000  | false | -84005.872 |
|    86     |   15   | -1000.000  | false | -85005.872 |
|    87     |   10   | -1000.000  | false | -86005.872 |
|    88     |   10   | -1000.000  | false | -87005.872 |
|    89     |   10   | -1000.000  | false | -88005.872 |
|    90     |   10   | -1000.000  | false | -89005.872 |
|    91     |   4    | -1000.000  | false | -90005.872 |
|    92     |   4    | -1000.000  | false | -91005.872 |
|    93     |   4    | -1000.000  | false | -92005.872 |
|    94     |   4    | -1000.000  | false | -93005.872 |
|    95     |   4    | -1000.000  | false | -94005.872 |
|    96     |   4    | -1000.000  | false | -95005.872 |
|    97     |   15   | -1000.000  | false | -96005.872 |
|    98     |   15   | -1000.000  | false | -97005.872 |
|    99     |   4    | -1000.000  | false | -98005.872 |
