|_Iteration_|_Action_|___Reward___|_Done__|Acc. Reward_|
|     0     |   6    |   -2.936   | false |   -2.936   |
|     1     |   6    | -1000.000  | false | -1002.936  |
|     2     |   10   |   -2.936   | false | -1005.872  |
|     3     |   10   | -1000.000  | false | -2005.872  |
|     4     |   10   | -1000.000  | false | -3005.872  |
|     5     |   10   | -1000.000  | false | -4005.872  |
|     6     |   10   | -1000.000  | false | -5005.872  |
|     7     |   10   | -1000.000  | false | -6005.872  |
|     8     |   10   | -1000.000  | false | -7005.872  |
|     9     |   10   | -1000.000  | false | -8005.872  |
|    10     |   6    |   -2.936   | false | -8008.807  |
|    11     |   6    | -1000.000  | false | -9008.807  |
|    12     |   6    | -1000.000  | false | -10008.807 |
|    13     |   10   |   -2.936   | false | -10011.743 |
|    14     |   9    | -1000.000  | false | -11011.743 |
|    15     |   10   | -1000.000  | false | -12011.743 |
|    16     |   6    |   -2.936   | false | -12014.679 |
|    17     |   6    | -1000.000  | false | -13014.679 |
|    18     |   6    | -1000.000  | false | -14014.679 |
|    19     |   10   |   -2.936   | false | -14017.615 |
|    20     |   6    |   -2.936   | false | -14020.550 |
|    21     |   6    | -1000.000  | false | -15020.550 |
|    22     |   6    | -1000.000  | false | -16020.550 |
|    23     |   6    | -1000.000  | false | -17020.550 |
|    24     |   6    | -1000.000  | false | -18020.550 |
|    25     |   6    | -1000.000  | false | -19020.550 |
|    26     |   6    | -1000.000  | false | -20020.550 |
|    27     |   6    | -1000.000  | false | -21020.550 |
|    28     |   10   |   -2.936   | false | -21023.486 |
|    29     |   6    |   -2.936   | false | -21026.422 |
|    30     |   10   |   -2.936   | false | -21029.358 |
|    31     |   10   | -1000.000  | false | -22029.358 |
|    32     |   6    |   -2.936   | false | -22032.294 |
|    33     |   6    | -1000.000  | false | -23032.294 |
|    34     |   6    | -1000.000  | false | -24032.294 |
|    35     |   10   |   -2.936   | false | -24035.229 |
|    36     |   6    |   -2.936   | false | -24038.165 |
|    37     |   6    | -1000.000  | false | -25038.165 |
|    38     |   6    | -1000.000  | false | -26038.165 |
|    39     |   6    | -1000.000  | false | -27038.165 |
|    40     |   10   |   -2.936   | false | -27041.101 |
|    41     |   6    |   -2.936   | false | -27044.037 |
|    42     |   10   |   -2.936   | false | -27046.973 |
|    43     |   10   | -1000.000  | false | -28046.973 |
|    44     |   10   | -1000.000  | false | -29046.973 |
|    45     |   10   | -1000.000  | false | -30046.973 |
|    46     |   10   | -1000.000  | false | -31046.973 |
|    47     |   10   | -1000.000  | false | -32046.973 |
|    48     |   10   | -1000.000  | false | -33046.973 |
|    49     |   10   | -1000.000  | false | -34046.973 |
|    50     |   10   | -1000.000  | false | -35046.973 |
|    51     |   10   | -1000.000  | false | -36046.973 |
|    52     |   6    |   -2.936   | false | -36049.908 |
|    53     |   10   |   0.000    | true  | -36049.908 |
