Iter | Action | Reward | Done | Acc_r
0 | 14 | -900.0000 | false | -900.0000
1 | 14 | -900.0000 | false | -1800.0000
2 | 4 | -3.2611 | false | -1803.2611
3 | 4 | -3.2611 | false | -1806.5222
4 | 14 | -900.0000 | false | -2706.5222
5 | 14 | -900.0000 | false | -3606.5222
6 | 14 | -900.0000 | false | -4506.5222
7 | 14 | -900.0000 | false | -5406.5222
8 | 5 | -2.8333 | false | -5409.3555
9 | 5 | -3.2611 | false | -5412.6166
10 | 14 | -900.0000 | false | -6312.6166
11 | 4 | -1000.0000 | false | -7312.6166
12 | 14 | -900.0000 | false | -8212.6166
13 | 14 | -900.0000 | false | -9112.6166
14 | 14 | -900.0000 | false | -10012.6166
15 | 14 | -900.0000 | false | -10912.6166
16 | 14 | -900.0000 | false | -11812.6166
17 | 14 | -900.0000 | false | -12712.6166
18 | 14 | -900.0000 | false | -13612.6166
19 | 14 | -900.0000 | false | -14512.6166
20 | 14 | -900.0000 | false | -15412.6166
21 | 14 | -900.0000 | false | -16312.6166
22 | 14 | -900.0000 | false | -17212.6166
23 | 14 | -900.0000 | false | -18112.6166
24 | 14 | -900.0000 | false | -19012.6166
25 | 14 | -900.0000 | false | -19912.6166
26 | 14 | -900.0000 | false | -20812.6166
27 | 14 | -900.0000 | false | -21712.6166
28 | 14 | -900.0000 | false | -22612.6166
29 | 14 | -900.0000 | false | -23512.6166
30 | 14 | -900.0000 | false | -24412.6166
31 | 14 | -900.0000 | false | -25312.6166
32 | 14 | -900.0000 | false | -26212.6166
33 | 14 | -900.0000 | false | -27112.6166
34 | 14 | -900.0000 | false | -28012.6166
35 | 14 | -900.0000 | false | -28912.6166
36 | 14 | -900.0000 | false | -29812.6166
37 | 14 | -900.0000 | false | -30712.6166
38 | 14 | -900.0000 | false | -31612.6166
39 | 14 | -900.0000 | false | -32512.6166
40 | 14 | -900.0000 | false | -33412.6166
41 | 14 | -900.0000 | false | -34312.6166
42 | 14 | -900.0000 | false | -35212.6166
43 | 14 | -900.0000 | false | -36112.6166
44 | 14 | -900.0000 | false | -37012.6166
45 | 14 | -900.0000 | false | -37912.6166
46 | 14 | -900.0000 | false | -38812.6166
47 | 14 | -900.0000 | false | -39712.6166
48 | 14 | -900.0000 | false | -40612.6166
49 | 14 | -900.0000 | false | -41512.6166
50 | 14 | -900.0000 | false | -42412.6166
51 | 14 | -900.0000 | false | -43312.6166
52 | 14 | -900.0000 | false | -44212.6166
53 | 14 | -900.0000 | false | -45112.6166
54 | 14 | -900.0000 | false | -46012.6166
55 | 14 | -900.0000 | false | -46912.6166
56 | 14 | -900.0000 | false | -47812.6166
57 | 14 | -900.0000 | false | -48712.6166
58 | 14 | -900.0000 | false | -49612.6166
59 | 14 | -900.0000 | false | -50512.6166
60 | 14 | -900.0000 | false | -51412.6166
61 | 14 | -900.0000 | false | -52312.6166
62 | 14 | -900.0000 | false | -53212.6166
63 | 14 | -900.0000 | false | -54112.6166
64 | 14 | -900.0000 | false | -55012.6166
65 | 14 | -900.0000 | false | -55912.6166
66 | 14 | -900.0000 | false | -56812.6166
67 | 14 | -900.0000 | false | -57712.6166
68 | 14 | -900.0000 | false | -58612.6166
69 | 14 | -900.0000 | false | -59512.6166
70 | 14 | -900.0000 | false | -60412.6166
71 | 14 | -900.0000 | false | -61312.6166
72 | 14 | -900.0000 | false | -62212.6166
73 | 14 | -900.0000 | false | -63112.6166
74 | 14 | -900.0000 | false | -64012.6166
75 | 14 | -900.0000 | false | -64912.6166
76 | 14 | -900.0000 | false | -65812.6166
77 | 14 | -900.0000 | false | -66712.6166
78 | 14 | -900.0000 | false | -67612.6166
79 | 14 | -900.0000 | false | -68512.6166
80 | 14 | -900.0000 | false | -69412.6166
81 | 14 | -900.0000 | false | -70312.6166
82 | 14 | -900.0000 | false | -71212.6166
83 | 14 | -900.0000 | false | -72112.6166
84 | 14 | -900.0000 | false | -73012.6166
85 | 14 | -900.0000 | false | -73912.6166
86 | 14 | -900.0000 | false | -74812.6166
87 | 14 | -900.0000 | false | -75712.6166
88 | 14 | -900.0000 | false | -76612.6166
89 | 14 | -900.0000 | false | -77512.6166
90 | 14 | -900.0000 | false | -78412.6166
91 | 14 | -900.0000 | false | -79312.6166
92 | 14 | -900.0000 | false | -80212.6166
93 | 14 | -900.0000 | false | -81112.6166
94 | 14 | -900.0000 | false | -82012.6166
95 | 14 | -900.0000 | false | -82912.6166
96 | 14 | -900.0000 | false | -83812.6166
97 | 14 | -900.0000 | false | -84712.6166
98 | 14 | -900.0000 | false | -85612.6166
99 | 14 | -900.0000 | false | -86512.6166
