Iter| Action |	Reward	|	Done	|	Acc_rw
0	|	15	 |	-900.0000	|	false	|	 -900.0000
1	|	15	 |	-900.0000	|	false	|	 -1800.0000
2	|	15	 |	-900.0000	|	false	|	 -2700.0000
3	|	9	 |	-1000.0000	|	false	|	 -3700.0000
4	|	9	 |	-1000.0000	|	false	|	 -4700.0000
5	|	5	 |	-4.0437	|	false	|	 -4704.0437
6	|	5	 |	-3.5480	|	false	|	 -4707.5917
7	|	5	 |	-3.2611	|	false	|	 -4710.8528
8	|	5	 |	-5.1699	|	false	|	 -4716.0227
9	|	15	 |	-900.0000	|	false	|	 -5616.0227
10	|	15	 |	-900.0000	|	false	|	 -6516.0227
11	|	15	 |	-900.0000	|	false	|	 -7416.0227
12	|	15	 |	-900.0000	|	false	|	 -8316.0227
13	|	15	 |	-900.0000	|	false	|	 -9216.0227
14	|	15	 |	-900.0000	|	false	|	 -10116.0227
15	|	15	 |	-900.0000	|	false	|	 -11016.0227
16	|	15	 |	-900.0000	|	false	|	 -11916.0227
17	|	15	 |	-900.0000	|	false	|	 -12816.0227
18	|	15	 |	-900.0000	|	false	|	 -13716.0227
19	|	15	 |	-900.0000	|	false	|	 -14616.0227
20	|	15	 |	-900.0000	|	false	|	 -15516.0227
21	|	15	 |	-900.0000	|	false	|	 -16416.0227
22	|	15	 |	-900.0000	|	false	|	 -17316.0227
23	|	15	 |	-900.0000	|	false	|	 -18216.0227
24	|	15	 |	-900.0000	|	false	|	 -19116.0227
25	|	15	 |	-900.0000	|	false	|	 -20016.0227
26	|	15	 |	-900.0000	|	false	|	 -20916.0227
27	|	15	 |	-900.0000	|	false	|	 -21816.0227
28	|	15	 |	-900.0000	|	false	|	 -22716.0227
29	|	15	 |	-900.0000	|	false	|	 -23616.0227
30	|	15	 |	-900.0000	|	false	|	 -24516.0227
31	|	15	 |	-900.0000	|	false	|	 -25416.0227
32	|	15	 |	-900.0000	|	false	|	 -26316.0227
33	|	15	 |	-900.0000	|	false	|	 -27216.0227
34	|	15	 |	-900.0000	|	false	|	 -28116.0227
35	|	15	 |	-900.0000	|	false	|	 -29016.0227
36	|	15	 |	-900.0000	|	false	|	 -29916.0227
37	|	15	 |	-900.0000	|	false	|	 -30816.0227
38	|	15	 |	-900.0000	|	false	|	 -31716.0227
39	|	15	 |	-900.0000	|	false	|	 -32616.0227
40	|	15	 |	-900.0000	|	false	|	 -33516.0227
41	|	15	 |	-900.0000	|	false	|	 -34416.0227
42	|	15	 |	-900.0000	|	false	|	 -35316.0227
43	|	15	 |	-900.0000	|	false	|	 -36216.0227
44	|	15	 |	-900.0000	|	false	|	 -37116.0227
45	|	15	 |	-900.0000	|	false	|	 -38016.0227
46	|	15	 |	-900.0000	|	false	|	 -38916.0227
47	|	15	 |	-900.0000	|	false	|	 -39816.0227
48	|	15	 |	-900.0000	|	false	|	 -40716.0227
49	|	15	 |	-900.0000	|	false	|	 -41616.0227
50	|	15	 |	-900.0000	|	false	|	 -42516.0227
51	|	15	 |	-900.0000	|	false	|	 -43416.0227
52	|	15	 |	-900.0000	|	false	|	 -44316.0227
53	|	15	 |	-900.0000	|	false	|	 -45216.0227
54	|	15	 |	-900.0000	|	false	|	 -46116.0227
55	|	15	 |	-900.0000	|	false	|	 -47016.0227
56	|	5	 |	-1000.0000	|	false	|	 -48016.0227
57	|	15	 |	-900.0000	|	false	|	 -48916.0227
58	|	5	 |	-1000.0000	|	false	|	 -49916.0227
59	|	5	 |	-1000.0000	|	false	|	 -50916.0227
60	|	15	 |	-900.0000	|	false	|	 -51816.0227
61	|	15	 |	-900.0000	|	false	|	 -52716.0227
62	|	15	 |	-900.0000	|	false	|	 -53616.0227
63	|	15	 |	-900.0000	|	false	|	 -54516.0227
64	|	15	 |	-900.0000	|	false	|	 -55416.0227
65	|	15	 |	-900.0000	|	false	|	 -56316.0227
66	|	15	 |	-900.0000	|	false	|	 -57216.0227
67	|	15	 |	-900.0000	|	false	|	 -58116.0227
68	|	15	 |	-900.0000	|	false	|	 -59016.0227
69	|	15	 |	-900.0000	|	false	|	 -59916.0227
70	|	15	 |	-900.0000	|	false	|	 -60816.0227
71	|	15	 |	-900.0000	|	false	|	 -61716.0227
72	|	15	 |	-900.0000	|	false	|	 -62616.0227
73	|	15	 |	-900.0000	|	false	|	 -63516.0227
74	|	15	 |	-900.0000	|	false	|	 -64416.0227
75	|	15	 |	-900.0000	|	false	|	 -65316.0227
76	|	15	 |	-900.0000	|	false	|	 -66216.0227
77	|	15	 |	-900.0000	|	false	|	 -67116.0227
78	|	15	 |	-900.0000	|	false	|	 -68016.0227
79	|	15	 |	-900.0000	|	false	|	 -68916.0227
80	|	15	 |	-900.0000	|	false	|	 -69816.0227
81	|	15	 |	-900.0000	|	false	|	 -70716.0227
82	|	15	 |	-900.0000	|	false	|	 -71616.0227
83	|	15	 |	-900.0000	|	false	|	 -72516.0227
84	|	15	 |	-900.0000	|	false	|	 -73416.0227
85	|	15	 |	-900.0000	|	false	|	 -74316.0227
86	|	15	 |	-900.0000	|	false	|	 -75216.0227
87	|	15	 |	-900.0000	|	false	|	 -76116.0227
88	|	15	 |	-900.0000	|	false	|	 -77016.0227
89	|	15	 |	-900.0000	|	false	|	 -77916.0227
