Iter| Action |	Reward	|	Done	|	Acc_rw
0	|	7	 |	-2.8333	|	false	|	 -2.8333
1	|	11	 |	-2.8333	|	false	|	 -5.6665
2	|	7	 |	-2.8333	|	false	|	 -8.4998
3	|	7	 |	-1000.0000	|	false	|	 -1008.4998
4	|	11	 |	-2.8333	|	false	|	 -1011.3331
5	|	7	 |	-2.8333	|	false	|	 -1014.1664
6	|	4	 |	-2.8333	|	false	|	 -1016.9996
7	|	11	 |	-2.6340	|	false	|	 -1019.6336
8	|	7	 |	-2.6340	|	false	|	 -1022.2676
9	|	11	 |	-2.6340	|	false	|	 -1024.9016
10	|	7	 |	-2.6340	|	false	|	 -1027.5356
11	|	11	 |	-2.6340	|	false	|	 -1030.1695
12	|	7	 |	-2.6340	|	false	|	 -1032.8035
13	|	11	 |	0.0000	|	true	|	 -1032.8035
