Iter| Action |	Reward	|	Done	|	Acc_rw
0	|	6	 |	-2.9358	|	false	|	 -2.9358
1	|	10	 |	-2.9358	|	false	|	 -5.8716
2	|	10	 |	-1000.0000	|	false	|	 -1005.8716
3	|	12	 |	-1000.0000	|	false	|	 -2005.8716
4	|	10	 |	-1000.0000	|	false	|	 -3005.8716
5	|	10	 |	-1000.0000	|	false	|	 -4005.8716
6	|	10	 |	-1000.0000	|	false	|	 -5005.8716
7	|	6	 |	-2.9358	|	false	|	 -5008.8074
8	|	10	 |	-2.9358	|	false	|	 -5011.7431
9	|	6	 |	-2.9358	|	false	|	 -5014.6789
10	|	10	 |	-2.9358	|	false	|	 -5017.6147
11	|	10	 |	-1000.0000	|	false	|	 -6017.6147
12	|	10	 |	-1000.0000	|	false	|	 -7017.6147
13	|	6	 |	-2.9358	|	false	|	 -7020.5505
14	|	6	 |	-1000.0000	|	false	|	 -8020.5505
15	|	6	 |	-1000.0000	|	false	|	 -9020.5505
16	|	6	 |	-1000.0000	|	false	|	 -10020.5505
17	|	6	 |	-1000.0000	|	false	|	 -11020.5505
18	|	6	 |	-1000.0000	|	false	|	 -12020.5505
19	|	6	 |	-1000.0000	|	false	|	 -13020.5505
20	|	6	 |	-1000.0000	|	false	|	 -14020.5505
21	|	6	 |	-1000.0000	|	false	|	 -15020.5505
22	|	10	 |	-2.9358	|	false	|	 -15023.4863
23	|	10	 |	-1000.0000	|	false	|	 -16023.4863
24	|	10	 |	-1000.0000	|	false	|	 -17023.4863
25	|	10	 |	-1000.0000	|	false	|	 -18023.4863
26	|	6	 |	-2.9358	|	false	|	 -18026.4221
27	|	10	 |	-2.9358	|	false	|	 -18029.3578
28	|	6	 |	-2.9358	|	false	|	 -18032.2936
29	|	10	 |	-2.9358	|	false	|	 -18035.2294
30	|	6	 |	-2.9358	|	false	|	 -18038.1652
31	|	10	 |	-2.9358	|	false	|	 -18041.1010
32	|	6	 |	-2.9358	|	false	|	 -18044.0368
33	|	6	 |	-1000.0000	|	false	|	 -19044.0368
34	|	10	 |	-2.9358	|	false	|	 -19046.9726
35	|	6	 |	-2.9358	|	false	|	 -19049.9083
36	|	6	 |	-1000.0000	|	false	|	 -20049.9083
37	|	10	 |	0.0000	|	true	|	 -20049.9083
